FECHA,PLANTACION,SECTOR,Peso,Racimos
2022-01-03,Nuevo Horizonte,SE05,0.0,3306.0
2022-01-03,Palmawasi,SE01,0.0,6716.0
2022-01-03,Palmawasi,SE02,0.0,8044.0
2022-01-03,Palmawasi,SE03,0.0,11182.0
2022-01-03,Palmawasi,SE04,0.0,10542.0
2022-01-03,Palmawasi,SE4F,0.0,7234.0
2022-01-03,Shanuzi,SE01,9373.29088,32919.0
2022-01-03,Shanuzi,SE02,9736.279720999999,5874.0
2022-01-03,Shanuzi,SE03,2826.664704,9713.0
2022-01-03,Shanuzi,SE04,9239.316698999999,7366.0
2022-01-04,Nuevo Horizonte,SE05,41455.92848,2887.0
2022-01-04,Palmawasi,SE01,104847.94003,7542.0
2022-01-04,Palmawasi,SE02,217017.24193,10526.0
2022-01-04,Palmawasi,SE03,267636.18247,12726.0
2022-01-04,Palmawasi,SE04,150859.08875,11739.0
2022-01-04,Palmawasi,SE4F,124658.89038,7425.0
2022-01-04,Shanuzi,SE01,45678.857732,43255.0
2022-01-04,Shanuzi,SE02,16627.723525,9849.0
2022-01-04,Shanuzi,SE03,8416.467792,11286.0
2022-01-04,Shanuzi,SE04,5657.029047,7232.0
2022-01-05,Nuevo Horizonte,SE05,33192.864,2300.0
2022-01-05,Palmawasi,SE01,196481.7347,8576.0
2022-01-05,Palmawasi,SE02,243108.65788,11728.0
2022-01-05,Palmawasi,SE03,274880.41445,13219.0
2022-01-05,Palmawasi,SE04,237273.06589,11407.0
2022-01-05,Palmawasi,SE4F,97876.30362,5485.0
2022-01-05,Shanuzi,SE01,56270.551772,45084.0
2022-01-05,Shanuzi,SE02,9006.300439,9816.0
2022-01-05,Shanuzi,SE03,8804.981155000001,12459.0
2022-01-05,Shanuzi,SE04,2961.0298629999998,7291.0
2022-01-06,Nuevo Horizonte,SE05,33980.54877,2527.0
2022-01-06,Palmawasi,SE01,159381.25045,7431.0
2022-01-06,Palmawasi,SE02,224289.91382,19221.0
2022-01-06,Palmawasi,SE03,230902.99952,14151.0
2022-01-06,Palmawasi,SE04,52880.49204,2694.0
2022-01-06,Palmawasi,SE4F,85796.40383,4796.0
2022-01-06,Shanuzi,SE01,32090.772194999998,39257.0
2022-01-06,Shanuzi,SE02,26466.131093,9611.0
2022-01-06,Shanuzi,SE03,14816.066568,17884.0
2022-01-06,Shanuzi,SE04,11006.438764,8022.0
2022-01-07,Nuevo Horizonte,SE05,41782.1852,3216.0
2022-01-07,Palmawasi,SE01,108207.79069,4696.0
2022-01-07,Palmawasi,SE02,283709.40034,15466.0
2022-01-07,Palmawasi,SE03,415779.56292,21286.0
2022-01-07,Palmawasi,SE04,30906.419199999997,1719.0
2022-01-07,Palmawasi,SE4F,104039.99661,5954.0
2022-01-07,Shanuzi,SE01,33079.057967,29455.0
2022-01-07,Shanuzi,SE02,19802.804131,8367.0
2022-01-07,Shanuzi,SE03,12065.023021,15159.0
2022-01-07,Shanuzi,SE04,5162.646392000001,7574.0
2022-01-08,Nuevo Horizonte,SE05,33389.41584,2415.0
2022-01-08,Palmawasi,SE01,116977.9023,5372.0
2022-01-08,Palmawasi,SE02,198074.91335,11607.0
2022-01-08,Palmawasi,SE03,312878.02396,19739.0
2022-01-08,Palmawasi,SE04,78293.67853,3386.0
2022-01-08,Palmawasi,SE4F,90328.67113,5066.0
2022-01-08,Shanuzi,SE01,1294.297497,622.0
2022-01-08,Shanuzi,SE03,8344.180913,2956.0
2022-01-09,Palmawasi,SE03,59139.91203000001,4929.0
2022-01-10,Nuevo Horizonte,SE05,27991.34228,2203.0
2022-01-10,Palmawasi,SE01,84880.93365,6615.0
2022-01-10,Palmawasi,SE02,296505.59168,14716.0
2022-01-10,Palmawasi,SE03,186494.85781000002,12449.0
2022-01-10,Palmawasi,SE04,49837.49566,2010.0
2022-01-10,Palmawasi,SE4F,97525.00558,5559.0
2022-01-10,Shanuzi,SE01,12893.635496,8352.0
2022-01-10,Shanuzi,SE02,3641.1191179999996,3146.0
2022-01-10,Shanuzi,SE03,3956.4454530000003,2532.0
2022-01-10,Shanuzi,SE04,4074.340377,2972.0
2022-01-11,Nuevo Horizonte,SE05,34805.8112,2705.0
2022-01-11,Palmawasi,SE01,154140.48893,7715.0
2022-01-11,Palmawasi,SE02,152145.43708,7135.0
2022-01-11,Palmawasi,SE03,221134.33393,11469.0
2022-01-11,Palmawasi,SE04,170255.27744,8974.0
2022-01-11,Palmawasi,SE4F,119444.50239,6817.0
2022-01-11,Shanuzi,SE01,20007.137628,26198.0
2022-01-11,Shanuzi,SE02,15936.346132,11685.0
2022-01-11,Shanuzi,SE03,12326.86898,10660.0
2022-01-11,Shanuzi,SE04,8515.386271,6590.0
2022-01-12,Nuevo Horizonte,SE05,29384.010759999997,2531.0
2022-01-12,Palmawasi,SE01,171665.45455,7704.0
2022-01-12,Palmawasi,SE02,216277.78888,10154.0
2022-01-12,Palmawasi,SE03,240767.39291999998,12628.0
2022-01-12,Palmawasi,SE04,202009.66952,10250.0
2022-01-12,Palmawasi,SE4F,120533.49866,7093.0
2022-01-12,Shanuzi,SE01,25066.60328,28186.0
2022-01-12,Shanuzi,SE02,25468.377697,20916.0
2022-01-12,Shanuzi,SE03,9027.974755,7455.0
2022-01-12,Shanuzi,SE04,17723.775492,18160.0
2022-01-13,Nuevo Horizonte,SE05,30685.10029,2382.0
2022-01-13,Palmawasi,SE01,201730.18138,8479.0
2022-01-13,Palmawasi,SE02,230193.78530000002,13078.0
2022-01-13,Palmawasi,SE03,343102.88526,16826.0
2022-01-13,Palmawasi,SE04,222798.897,11144.0
2022-01-13,Palmawasi,SE4F,164189.12054,9129.0
2022-01-13,Shanuzi,SE01,21710.950198,14259.0
2022-01-13,Shanuzi,SE02,29195.390571,28603.0
2022-01-13,Shanuzi,SE03,6354.979259,4174.0
2022-01-13,Shanuzi,SE04,28376.871163,27999.0
2022-01-14,Nuevo Horizonte,SE05,33039.13478,2528.0
2022-01-14,Palmawasi,SE01,206776.18076000002,8775.0
2022-01-14,Palmawasi,SE02,237089.60272999998,11305.0
2022-01-14,Palmawasi,SE03,362722.49072,18141.0
2022-01-14,Palmawasi,SE04,250389.57164,12391.0
2022-01-14,Palmawasi,SE4F,118373.65567000001,6667.0
2022-01-14,Shanuzi,SE01,13785.150396000001,10054.0
2022-01-14,Shanuzi,SE02,39156.292059,23237.0
2022-01-14,Shanuzi,SE03,8681.302835,8938.0
2022-01-14,Shanuzi,SE04,22040.320417,21523.0
2022-01-15,Nuevo Horizonte,SE05,28804.688720000002,2204.0
2022-01-15,Palmawasi,SE01,173350.7445,7288.0
2022-01-15,Palmawasi,SE02,223125.84947,10637.0
2022-01-15,Palmawasi,SE03,326689.97428,16250.0
2022-01-15,Palmawasi,SE04,248848.797,12308.0
2022-01-15,Palmawasi,SE4F,111293.47283,6503.0
2022-01-15,Shanuzi,SE01,8448.953767,6005.0
2022-01-15,Shanuzi,SE02,36692.34159,25159.0
2022-01-15,Shanuzi,SE03,5255.681945,8114.0
2022-01-15,Shanuzi,SE04,30753.847252,25295.0
2022-01-16,Palmawasi,SE01,62808.31138,2414.0
2022-01-16,Palmawasi,SE03,202525.55425,9962.0
2022-01-16,Palmawasi,SE04,37192.37024,1356.0
2022-01-17,Nuevo Horizonte,SE05,27000.506970000002,2068.0
2022-01-17,Palmawasi,SE01,180544.20505,7531.0
2022-01-17,Palmawasi,SE02,166621.86747,8162.0
2022-01-17,Palmawasi,SE03,282975.16382,13921.0
2022-01-17,Palmawasi,SE04,243952.97599,11563.0
2022-01-17,Palmawasi,SE4F,10984.28561,662.0
2022-01-17,Shanuzi,SE01,34012.536395,16707.0
2022-01-17,Shanuzi,SE02,18718.1922,9809.0
2022-01-17,Shanuzi,SE03,9894.995498,14351.0
2022-01-17,Shanuzi,SE04,31519.671572,29319.0
2022-01-18,Nuevo Horizonte,SE05,31477.3024,2360.0
2022-01-18,Palmawasi,SE01,207353.89158,8868.0
2022-01-18,Palmawasi,SE02,207645.82298,10095.0
2022-01-18,Palmawasi,SE03,332818.51438,18204.0
2022-01-18,Palmawasi,SE04,272301.86734,13097.0
2022-01-18,Palmawasi,SE4F,15985.658780000002,1127.0
2022-01-18,Shanuzi,SE01,39987.947663,37682.0
2022-01-18,Shanuzi,SE02,17701.762494,12146.0
2022-01-18,Shanuzi,SE03,10222.446754999999,6795.0
2022-01-18,Shanuzi,SE04,32002.614602999998,24945.0
2022-01-19,Nuevo Horizonte,SE05,25315.45136,1879.0
2022-01-19,Palmawasi,SE01,215309.23582,9386.0
2022-01-19,Palmawasi,SE02,222114.26658999998,10678.0
2022-01-19,Palmawasi,SE03,363645.70754,18419.0
2022-01-19,Palmawasi,SE04,208455.06917,12089.0
2022-01-19,Palmawasi,SE4F,16546.54169,1028.0
2022-01-19,Shanuzi,SE01,28608.364554,34256.0
2022-01-19,Shanuzi,SE02,15712.272021,10911.0
