FECHA,PLANTACION,VERDES,MADUROS,SMADUROS,PEDUNCULO,ESCOBAJO,MALFORMADOA,MALFORMADOB,Peso,Racimos
2021-08-18,Palmawasi,55.0,1978.0,62.0,0.0,0.0,45.0,5.0,,
2021-08-19,Palmawasi,91.0,2100.0,91.0,0.0,0.0,89.0,9.0,,
2021-08-20,Palmawasi,49.0,1776.0,78.0,9.0,0.0,52.0,6.0,,
2021-08-21,Palmawasi,35.0,2033.0,113.0,0.0,0.0,62.0,4.0,,
2021-08-23,Palmawasi,43.0,1288.0,121.0,0.0,0.0,41.0,3.0,,
2021-08-24,Palmawasi,28.0,1604.0,67.0,2.0,0.0,37.0,1.0,,
2021-08-25,Palmawasi,65.0,1598.0,131.0,0.0,0.0,77.0,4.0,,
2021-08-26,Palmawasi,34.0,1003.0,34.0,4.0,0.0,24.0,3.0,,
2021-08-27,Palmawasi,64.0,1870.0,107.0,0.0,0.0,66.0,13.0,,
2021-08-28,Palmawasi,25.0,1300.0,68.0,0.0,0.0,22.0,7.0,,
2021-08-31,Palmawasi,60.0,2644.0,67.0,0.0,0.0,62.0,16.0,,
2021-09-01,Palmawasi,33.0,2002.0,117.0,5.0,0.0,71.0,22.0,,
2021-09-02,Palmawasi,74.0,2356.0,153.0,0.0,0.0,65.0,16.0,,
2021-09-03,Palmawasi,14.0,2763.0,85.0,2.0,0.0,81.0,6.0,,
2021-09-04,Palmawasi,41.0,3241.0,136.0,2.0,0.0,132.0,29.0,,
2021-09-08,Palmawasi,45.0,3237.0,171.0,3.0,0.0,139.0,38.0,,
2021-09-09,Palmawasi,29.0,2186.0,107.0,1.0,0.0,37.0,23.0,,
2021-09-14,Palmawasi,31.0,3805.0,197.0,1.0,0.0,172.0,34.0,,
2021-09-16,Palmawasi,25.0,5239.0,244.0,12.0,0.0,108.0,27.0,,
2021-09-24,Palmawasi,25.0,3365.0,91.0,8.0,0.0,58.0,3.0,,
2021-09-27,Palmawasi,25.0,3753.0,175.0,10.0,0.0,123.0,26.0,,
2021-09-28,Palmawasi,58.0,2774.0,105.0,0.0,0.0,102.0,9.0,,
2021-09-29,Palmawasi,46.0,2626.0,57.0,0.0,0.0,60.0,19.0,,
2021-09-30,Palmawasi,36.0,3328.0,222.0,0.0,0.0,80.0,26.0,,
2021-10-01,Palmawasi,17.0,2068.0,97.0,1.0,0.0,42.0,13.0,,
2021-10-02,Palmawasi,6.0,919.0,50.0,0.0,0.0,56.0,1.0,,
2021-10-07,Palmawasi,23.0,3670.0,131.0,0.0,0.0,94.0,39.0,,
2021-10-08,Palmawasi,34.0,2907.0,93.0,1.0,0.0,82.0,29.0,,
2021-10-11,Palmawasi,18.0,2185.0,142.0,0.0,0.0,103.0,14.0,,
2021-10-12,Palmawasi,85.0,5069.0,199.0,0.0,0.0,186.0,31.0,,
2021-10-13,Palmawasi,38.0,2401.0,139.0,1.0,0.0,128.0,22.0,,
2021-10-14,Palmawasi,47.0,3924.0,118.0,14.0,0.0,34.0,14.0,,
2021-10-15,Palmawasi,32.0,3081.0,167.0,2.0,0.0,149.0,14.0,,
2021-11-08,Palmawasi,30.0,4685.0,315.0,0.0,0.0,126.0,30.0,,
2021-11-10,Palmawasi,22.0,2738.0,131.0,0.0,0.0,56.0,29.0,,
2021-11-13,Palmawasi,23.0,2974.0,102.0,2.0,0.0,76.0,8.0,,
2021-11-15,Palmawasi,56.0,4159.0,198.0,14.0,0.0,59.0,31.0,,
2021-11-16,Palmawasi,21.0,7137.0,441.0,4.0,0.0,158.0,45.0,,
2021-11-22,Palmawasi,45.0,6106.0,373.0,0.0,0.0,80.0,41.0,,
2021-11-25,Palmawasi,24.0,4246.0,333.0,0.0,0.0,75.0,28.0,,
2021-11-30,Palmawasi,40.0,4813.0,219.0,35.0,0.0,130.0,36.0,,
2021-12-07,Palmawasi,38.0,6400.0,221.0,0.0,0.0,104.0,33.0,,
2021-12-09,Palmawasi,1.0,213.0,17.0,0.0,0.0,12.0,1.0,,
2021-12-13,Palmawasi,31.0,4528.0,324.0,15.0,0.0,90.0,23.0,,
2021-12-15,Palmawasi,100.0,6491.0,829.0,0.0,0.0,158.0,29.0,,
2021-12-16,Palmawasi,120.0,9580.0,1798.0,6.0,0.0,163.0,32.0,,
2021-12-20,Palmawasi,122.0,6764.0,567.0,6.0,0.0,148.0,27.0,,
2021-12-21,Palmawasi,40.0,4260.0,178.0,2.0,0.0,69.0,14.0,,
2021-12-22,Palmawasi,31.0,5127.0,431.0,3.0,0.0,124.0,30.0,,
2021-12-23,Palmawasi,25.0,3259.0,197.0,4.0,0.0,96.0,17.0,,
2021-12-24,Palmawasi,19.0,5056.0,281.0,0.0,0.0,63.0,22.0,,
2021-12-27,Palmawasi,50.0,5406.0,271.0,0.0,0.0,71.0,15.0,,
2021-12-28,Palmawasi,3.0,2120.0,107.0,0.0,0.0,45.0,11.0,,
2021-12-31,Palmawasi,13.0,3574.0,201.0,0.0,0.0,57.0,18.0,,
2022-01-03,Nuevo Horizonte,,,,,,,,0.0,3306.0
2022-01-03,Palmawasi,20.0,3989.0,367.0,0.0,0.0,77.0,12.0,0.0,43718.0
2022-01-03,Shanuzi,,,,,,,,31175.552004,55872.0
2022-01-04,Nuevo Horizonte,,,,,,,,41455.92848,2887.0
2022-01-04,Palmawasi,17.0,2421.0,141.0,0.0,0.0,41.0,1.0,865019.34356,49958.0
2022-01-04,Shanuzi,,,,,,,,76380.078096,71622.0
2022-01-05,Nuevo Horizonte,,,,,,,,33192.864,2300.0
2022-01-05,Palmawasi,,,,,,,,1049620.1765400001,50415.0
2022-01-05,Shanuzi,,,,,,,,77042.863229,74650.0
2022-01-06,Nuevo Horizonte,,,,,,,,33980.54877,2527.0
2022-01-06,Palmawasi,16.0,3422.0,199.0,0.0,0.0,82.0,5.0,753251.05966,48293.0
2022-01-06,Shanuzi,,,,,,,,84379.40862,74774.0
2022-01-07,Nuevo Horizonte,,,,,,,,41782.1852,3216.0
2022-01-07,Palmawasi,12.0,3568.0,590.0,5.0,0.0,80.0,9.0,942643.16976,49121.0
2022-01-07,Shanuzi,,,,,,,,70109.53151100001,60555.0
2022-01-08,Nuevo Horizonte,,,,,,,,33389.41584,2415.0
2022-01-08,Palmawasi,,,,,,,,796553.18927,45170.0
2022-01-08,Shanuzi,,,,,,,,9638.47841,3578.0
2022-01-09,Palmawasi,,,,,,,,59139.91203000001,4929.0
2022-01-10,Nuevo Horizonte,,,,,,,,27991.34228,2203.0
2022-01-10,Palmawasi,9.0,3492.0,166.0,0.0,0.0,62.0,13.0,715243.8843800001,41349.0
