PTANIO,PTNOMBREMES,"Date(PTDIA, 'DD/MM/YYYY')",PROPIOS,TERCEROS,TOTAL,PARTICIPACION CP,PLANTACION,FECHA
2024,Enero,2024-01-02 00:00:00,0.0,198.59,198.59,1.0,Nuevo Horizonte,2024-01-02
2024,Enero,2024-01-03 00:00:00,23.23,252.48,275.71,0.9157448043233833,Nuevo Horizonte,2024-01-03
2024,Enero,2024-01-04 00:00:00,45.08,279.98,325.06,0.8613179105395927,Nuevo Horizonte,2024-01-04
2024,Enero,2024-01-05 00:00:00,38.77,286.39,325.16,0.8807663919301267,Nuevo Horizonte,2024-01-05
2024,Enero,2024-01-06 00:00:00,53.18,222.22,275.4,0.8068990559186637,Nuevo Horizonte,2024-01-06
2024,Enero,2024-01-07 00:00:00,0.0,33.91,33.91,1.0,Nuevo Horizonte,2024-01-07
2024,Enero,2024-01-08 00:00:00,0.0,208.27,208.27,1.0,Nuevo Horizonte,2024-01-08
2024,Enero,2024-01-09 00:00:00,43.07,262.15,305.22,0.858888670467204,Nuevo Horizonte,2024-01-09
2024,Enero,2024-01-10 00:00:00,0.0,242.48,242.48,1.0,Nuevo Horizonte,2024-01-10
2024,Enero,2024-01-11 00:00:00,48.01,206.21,254.22,0.8111478247187475,Nuevo Horizonte,2024-01-11
2024,Enero,2024-01-12 00:00:00,0.0,204.78,204.78,1.0,Nuevo Horizonte,2024-01-12
2024,Enero,2024-01-13 00:00:00,44.79,182.09,226.88,0.8025828631875882,Nuevo Horizonte,2024-01-13
2024,Enero,2024-01-14 00:00:00,0.0,45.42,45.42,1.0,Nuevo Horizonte,2024-01-14
2024,Enero,2024-01-15 00:00:00,0.0,146.03,146.03,1.0,Nuevo Horizonte,2024-01-15
2024,Enero,2024-01-16 00:00:00,58.92,185.79,244.71,0.7592252053451025,Nuevo Horizonte,2024-01-16
2024,Enero,2024-01-17 00:00:00,42.82,188.54,231.36,0.8149204702627939,Nuevo Horizonte,2024-01-17
2024,Enero,2024-01-18 00:00:00,0.0,184.41,184.41,1.0,Nuevo Horizonte,2024-01-18
2024,Enero,2024-01-19 00:00:00,55.12,205.78,260.9,0.788731314679954,Nuevo Horizonte,2024-01-19
2024,Enero,2024-01-20 00:00:00,36.18,150.24,186.42,0.8059221113614419,Nuevo Horizonte,2024-01-20
2024,Enero,2024-01-21 00:00:00,0.0,22.53,22.53,1.0,Nuevo Horizonte,2024-01-21
2024,Enero,2024-01-22 00:00:00,0.0,223.09,223.09,1.0,Nuevo Horizonte,2024-01-22
2024,Enero,2024-01-23 00:00:00,20.41,260.24,280.65,0.9272759665063246,Nuevo Horizonte,2024-01-23
2024,Enero,2024-01-24 00:00:00,43.05,188.38,231.43,0.8139826297368534,Nuevo Horizonte,2024-01-24
2024,Enero,2024-01-25 00:00:00,0.0,194.45,194.45,1.0,Nuevo Horizonte,2024-01-25
2024,Enero,2024-01-26 00:00:00,0.0,138.24,138.24,1.0,Nuevo Horizonte,2024-01-26
2024,Enero,2024-01-27 00:00:00,53.53,164.1,217.63,0.754032072784083,Nuevo Horizonte,2024-01-27
2024,Enero,2024-01-28 00:00:00,0.0,16.6,16.6,1.0,Nuevo Horizonte,2024-01-28
2024,Enero,2024-01-29 00:00:00,0.0,174.9,174.9,1.0,Nuevo Horizonte,2024-01-29
2024,Enero,2024-01-30 00:00:00,43.16,188.0,231.16,0.8132894964526735,Nuevo Horizonte,2024-01-30
2024,Enero,2024-01-31 00:00:00,0.0,254.36,254.36,1.0,Nuevo Horizonte,2024-01-31
2024,Febrero,2024-02-01 00:00:00,43.07,264.59,307.66,0.8600078008190859,Nuevo Horizonte,2024-02-01
2024,Febrero,2024-02-02 00:00:00,0.0,191.95,191.95,1.0,Nuevo Horizonte,2024-02-02
2024,Febrero,2024-02-03 00:00:00,34.71,126.59,161.3,0.7848109113453193,Nuevo Horizonte,2024-02-03
2024,Febrero,2024-02-04 00:00:00,0.0,29.91,29.91,1.0,Nuevo Horizonte,2024-02-04
2024,Febrero,2024-02-05 00:00:00,0.0,206.43,206.43,1.0,Nuevo Horizonte,2024-02-05
2024,Febrero,2024-02-06 00:00:00,36.79,237.65,274.44,0.8659451974930769,Nuevo Horizonte,2024-02-06
2024,Febrero,2024-02-07 00:00:00,0.0,142.59,142.59,1.0,Nuevo Horizonte,2024-02-07
2024,Febrero,2024-02-08 00:00:00,41.6,161.7,203.3,0.7953762911952779,Nuevo Horizonte,2024-02-08
2024,Febrero,2024-02-09 00:00:00,0.0,137.2,137.2,1.0,Nuevo Horizonte,2024-02-09
2024,Febrero,2024-02-10 00:00:00,40.97,153.03,194.0,0.7888144329896907,Nuevo Horizonte,2024-02-10
2024,Febrero,2024-02-11 00:00:00,0.0,40.0,40.0,1.0,Nuevo Horizonte,2024-02-11
